B.TECH I SEMESTER ODD 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,TA6(EC101)-TS7/ALJ,TA7(EC101)-TS8/VKH,,PC1(PH171)-/PL13/INC,,,TB10(PH111)-TS6/VRT,.
,"PA2(EC107)-EDC/AB,ACH",,TA8(EC101)-TS10/RIG,,PC2(PH171)-/PL2/DIN,,"PA16(HS112)-LL//BB,NF4",,
,"PA1(EC107)-BEL3/SMK,AMR",,TA16(CI111)-TS11/PHP,,"PB5(EC107)-EDC/NTN,ATA",,PG1(PH171)-/PL2/RAV/ANU,,
,"PB3(CI171)-CL13/AKT,DSR",,TB4(PH111)-TS12/INC,,"PG2(EC107)-BEL3/VRN,JYO",,PG2(PH171)-/PL1/BCJ,,
,"PB4(CI171)-CL15/ANM,RCA",,TB3(PH111)-TR505/MKC,,"PB11(CI171)-CL09/AMT,AJP",,"PB7(CI171)-CL13/ASP,SOS",,
,"PG1(HS112)-CL12/NIS,NF6",,TA18(EC101)-TR524/GK,,"PB12(CI171)-CL11/AKM,ARP",,"PB8(CI171)-CL15/KP,ASY",,
,"PG2(HS112)-LL/EKS,NF5",,TA2(CI111)-525/AMT,,"PA10(HS112)-LL/AS,VAN",,"PC3(B15CI111)-CL14/SHJ,PK,SJA",,
,,PB11(PH171)-PL1/MTR,,,PA9(CI171)-CL13/NF(Reserve),,"PB1(EC107)-EDC/APN,BVI",,
,,PB12(PH171)-PL2/ABH,,,,,,,
,,PB13(PH171)-PL3/AP,,,PB13(CI171)-CL15/NF(Reserve),,"PB2(EC107)-BEL3/NTN,ATA",,
,PB8(GE112)-EW1/CDN,,,,"PB14(HS112)-CL12/AS,VS",,PB12(GE112)-EW1/NKR,,
,PB7(GE112)-EW2/SWET,,,,PB10(GE112)-EW1/SNP,,PB11(GE112)-EW1/SNP,,
,,,,,PB9(GE112)-EW2/SWET,,"PA15(HS112)-CL12/YN,NF7",,
,,,,,,,,,
FRI,"LB11,B12(CI111)-G2/ANM","LB3,B4(MA111)-G2/PAT","LA15,A16(EC101)-G2/MN",LUNCH,"LB7,B8(MA111)-G2/RSH","LB1,B2(PH111)-G2/DIN","LG1,G2(PH111)-G2/ABH","LA15,A16(PH111)-G2/SPP",
,"LB7,B8(PH111)-G9/RKG","LA1,A2(PH111)-G9/VRT","LA5,A6(MA111)-G9/NSK",,"LB3,B4(CI111)-G9/AST","LB9,B10(EC101)-G9/AB","LA10,B14(MA111)-G9/RSC","LA3,A4(CI111)-G9/PHP",
,"LA1,A2(HS112)-FF1/HK","LB1,B2(MA111)-FF1/LK","LB3,B4(PH111)-FF1/BCJ",,"LA5,A6(HS112)-FF1/MB","LB11,B12(MA111)-FF3/AN","LA15,A16(CI111)-FF1/GZL","LA9,B13(EC101)-FF1/MN",
,"LB9,B10(PH111)-FF3/INC","LA5,A6(CI111)-FF3/KM","LA1,A2(CI111)-FF3/PRN",,LC(MA112)-FF3/GA,,"LA5,A6(EC101)-FF5/SMK",TB5(CI111)-TS6/SHP,
,"LA7,A8(EC101)-FF5/PRAB","LA10,B14(HS112)-FF5/EKS","LB7,B8(EC101)-FF5/NSH",,"LB11,B12(EC101)-FF5/NTN",,,TB9(EC101)-TS7/VKH,
,"LA9,B13(MA111)-CS6/AK","LA3,A4(EC101)-CS1/AB","LA17,A18(MA111)-CS5/SGL",,"LB1,B2(CI111)-G3/AMT",,,TG1(GE112)-TS8/CDN,
